Name,zcr,flt,lds,alds,strpk,nrg,cntr,flu,rof,entr,danc,bpm,tufre,ptch,tmpo,edmk,edm,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,gen
Creedence Clearwater Revival - Proud Mary-XfyEpmQM7bw-recortado.wav,0.0452551394701004,0.1903306394815445,-12.289745330810547,0.9589651226997375,0.6129831671714783,0.02302148938179016,1430.5645751953125,0.07028990238904953,1079.87060546875,7.333999156951904,1.4790278673171997,110.69986724853516,434.193115234375,0.5218214392662048,122.28260869565217,C,major,-664.6484,142.65143,-9.902808,34.95559,20.44461,Rock
Cuando Los Ángeles Lloran-IRMrqO03pik-recortado.wav,0.06649815291166306,0.12143370509147644,-11.311895370483398,0.9758924245834351,1.085805058479309,0.03791581466794014,1352.09326171875,0.09436623752117157,1394.02880859375,7.484455585479736,1.290252923965454,161.4989776611328,434.193115234375,0.5258686542510986,114.79591836734694,Eb,major,-614.464,109.316605,28.526636,30.27339,-2.0676367,Rock
Dar es dar - Fito Páez-2zxo9-qVjuM-recortado.wav,0.060406770557165146,0.12586836516857147,-11.316438674926758,0.9836210608482361,1.4649975299835205,0.02712699957191944,1451.2677001953125,0.09347887337207794,1497.596435546875,7.551977634429932,1.721880555152893,101.34881591796875,434.193115234375,0.6039798259735107,110.29411764705883,C#,major,-613.05786,125.707596,-11.636383,12.805862,-6.932922,Rock
"De Madrugada, Ekhymosis - Vídeo Oficial-mugC9aiQ48g-recortado.wav",0.1076684445142746,0.08838171511888504,-12.648520469665527,0.9724926948547363,0.659113347530365,0.027372032403945923,1942.60986328125,0.09075640887022018,2857.554443359375,7.83375883102417,1.6346200704574585,139.7671356201172,432.19134521484375,0.5590931177139282,76.01351351351352,F,major,-607.788,78.16899,14.017829,29.378857,15.034574,Rock
De Pies a Cabeza - Maná.-nDOk4CkbAl8-recortado.wav,0.0748644769191742,0.13125041127204895,-11.359525680541992,0.944749653339386,0.6935232281684875,0.029891477897763252,1330.4892578125,0.09334981441497803,1643.8172607421875,7.669307231903076,1.248650074005127,164.53802490234375,434.193115234375,0.5765157341957092,89.28571428571429,Eb,major,-634.92017,105.53885,15.811826,24.206282,9.520759,Rock
DECISIÓN-LA PARKA-MGNQhV_NjrA-recortado.wav,0.0696331337094307,0.157158762216568,-16.296342849731445,0.9656538367271423,0.8439633846282959,0.031703636050224304,1319.78564453125,0.08373063057661057,1702.0711669921875,7.413170337677002,1.1114025115966797,117.29120635986328,432.19134521484375,0.5696325898170471,130.8139534883721,F#,major,-625.87103,109.52731,19.93108,31.472319,34.203312,Rock
Deep Purple - Smoke on the Water (Audio)-zUwEIt9ez7M-recortado.wav,0.041203584522008896,0.18105576932430267,-14.664411544799805,0.9676946997642517,0.8392147421836853,0.0385441780090332,713.3212890625,0.09329894185066223,677.8366088867188,7.23500394821167,1.3918185234069824,105.01969146728516,431.9417724609375,0.545688807964325,114.79591836734694,Bb,minor,-643.4415,140.95543,35.38344,7.9144864,2.4894972,Rock
Deep Purple-Child in Time-PfAWReBmxEs-recortado.wav,0.012067968025803566,0.3530435860157013,-15.194626808166504,0.7607042193412781,0.683659553527832,0.050789956003427505,393.9182434082031,0.061571404337882996,244.64859008789062,6.115278720855713,0.904399573802948,118.0986099243164,432.94091796875,0.3895968198776245,127.8409090909091,C#,major,-768.26605,208.66602,12.557166,53.167786,9.774553,Rock
DEF LEPPARD - 'Hysteria' (Official Music Video)-jaiaaar88EM-recortado.wav,0.07120756804943085,0.12818214297294617,-21.3197021484375,0.9490360617637634,0.8561227917671204,0.0244482159614563,1529.4945068359375,0.08200066536664963,1745.9337158203125,7.677951335906982,1.2050561904907227,98.29170989990234,453.678466796875,0.592751145362854,106.13207547169812,F,major,-616.1304,110.428734,10.597865,32.79284,-2.145261,Rock
DEF LEPPARD - 'Love Bites' (Official Music Video)-0T1IVyXBGjM-recortado.wav,0.07474830001592636,0.14511089026927948,-23.454275131225586,0.9142031669616699,0.8852195143699646,0.021158061921596527,1477.37451171875,0.06957992166280746,2173.951416015625,7.536909580230713,1.308005928993225,119.06793212890625,452.6314697265625,0.5767385363578796,130.8139534883721,Eb,major,-656.06555,116.841774,3.3553557,11.288516,-0.4030391,Rock
